Strategy,Train Loss,Train Char Acc,Train Seq Acc,Val Loss,Val Char Acc,Val Seq Acc,Model Parameters Count
Full_E0,0.00013746249367754368,1.0,1.0,0.02340185764273978,0.9944878295351243,0.9821322215604527,85129760
Full_E1,0.009351495088482877,0.9971692596313856,0.9799679738767308,0.04806984546137287,0.9876845553430927,0.954233409610984,85129760
Full_E2,0.005026243596323612,0.9985605905993908,0.9869383654117869,0.03876344413239032,0.989859252061064,0.9619761136014545,85129760
Full_E3,0.004325149446444568,0.9986999199346919,0.9906119501397218,0.038696422535525674,0.9907643961004358,0.9693113068555844,85129760
Greedy_E0,0.08188666879350362,0.9868706631291406,0.8333699645200792,0.10157644298350466,0.9794902589260525,0.8157738001943513,35787296
Greedy_E1,0.006650841785316731,0.998274082388772,0.9850544758077177,0.03129228216913785,0.9910416209523213,0.9624776652769506,35787296
Greedy_E2,0.005662905101722936,0.9983604273289586,0.987440735972872,0.035958008153625,0.990852559480894,0.9671170182752892,35787296
Greedy_E3,0.002338409763696606,0.9994063785362178,0.9942855348676568,0.028218661516516898,0.9925237453371367,0.973010250462368,35787296
R10_E0,2.700122387436384,0.2749605560614148,0.0,2.702394215000344,0.27430664399235133,0.0,1853984
R10_E1,0.17319249124380104,0.9588134635310371,0.6708530880090426,0.18443265799670633,0.9559721873922448,0.6621422525939625,1853984
R10_E2,0.06043579626571455,0.9841517787057679,0.920091682627398,0.0798355064531082,0.9792629933230933,0.9126046205448105,1853984
R10_E3,0.03792168406872623,0.9896650993751767,0.9471568966058589,0.06206267199281604,0.9836339378075922,0.9371179586846807,1853984
R150_E0,0.6252601354656431,0.8349732330685422,0.06169738453326635,0.6430869391635572,0.8292157769348923,0.06125199836995705,25078304
R150_E1,0.005702767970779732,0.9986361424220541,0.98674997645138,0.030213878771783505,0.9914677439578696,0.9639509733237203,25078304
R150_E2,0.001541217161922981,0.9997605890294828,0.997205563753964,0.029603033093626097,0.9922612143819943,0.9755493558195668,25078304
R150_E3,0.0010880563633236208,0.9997870812270401,0.9973625545543031,0.027240768624481607,0.9930507664336541,0.9779317262781732,25078304
R180_E0,0.3573180838079856,0.9092622609815065,0.26223743288643286,0.3784676257343764,0.9028096689758942,0.25290743236889124,30054944
R180_E1,0.005514591459383496,0.9985870827969481,0.9873779396527363,0.033427200236134325,0.9907026817341149,0.9640136672831573,30054944
R180_E2,0.0018545239827339464,0.9995800496090929,0.9955728594304374,0.02854587681965663,0.9925570515030877,0.9746089464280117,30054944
R180_E3,0.004540068765291992,0.9987519231373042,0.9916794875820277,0.03428541253874423,0.9911170496222689,0.9694366947744585,30054944
Weight2_E0,2.805484150997297,0.24096812301799114,0.0,2.807722222591649,0.24002382370458605,0.0,1653536
Weight2_E1,0.6623975518599512,0.7951387798674998,0.022324091808220037,0.6710003284443016,0.7916405441835679,0.02075170057364973,1653536
Weight2_E2,0.14124786170093248,0.9627038918019404,0.7495054789789318,0.15648587630068314,0.958855129933231,0.7397573743769787,1653536
Weight2_E3,0.07798802910856918,0.9790171983421772,0.882413890546014,0.10015479103513154,0.9740300068963356,0.8774333093006489,1653536
Weight32_E0,0.6077739915640719,0.8401097758171371,0.07139941599422274,0.6249825730244869,0.8345339879627598,0.07247421710918153,26000672
Weight32_E1,0.005022046359048819,0.9989089139376433,0.9880373010141605,0.0303927173417682,0.991344315225228,0.9670543243158521,26000672
Weight32_E2,0.0021306404185488475,0.9995535574115357,0.9950390907092844,0.027931076318970544,0.9926354189523839,0.9738566189147676,26000672
Weight32_E3,0.001629805910011282,0.9996438271217307,0.9967031931928789,0.028357459603735865,0.992688316980659,0.9759255195761888,26000672
Weight38_E0,0.31649081968408527,0.9202771280102986,0.3214229646142736,0.3368104023360327,0.9135861728472462,0.31014701733487976,31551776
Weight38_E1,0.010609299103753434,0.9968650899557286,0.9789632327545605,0.04081955264690569,0.9887297811980815,0.9597818250211592,31551776
Weight38_E2,0.0012669378666191346,0.9997959119595592,0.9975195453546423,0.025956599192870102,0.9931839910974578,0.9774615215823955,31551776
Weight38_E3,0.0010963648944290936,0.9997576454519765,0.9977079343150491,0.02793816279123982,0.9928793376383186,0.9778376853390176,31551776
